language	site_key	group
Faroese	fowiki	weur
Franco-Provençal/Arpitan	frpwiki	weur
North Frisian	frrwiki	weur
French	frwiki	frwiki
Friulian	furwiki	weur
West Frisian	fywiki	weur
Gagauz	gagwiki	cee
Gan	ganwiki	asia
Irish	gawiki	weur
Scottish Gaelic	gdwiki	weur
Gilaki	glkwiki	mena
Galician	glwiki	weur
Guarani	gnwiki	other
Gova Konknni	gomwiki	asia
Gothic	gotwiki	weur
Gujarati	guwiki	asia
Manx	gvwiki	weur
Hakka	hakwiki	asia
Hausa	hawiki	ssa
Hawaiian	hawwiki	asia
Hebrew	hewiki	mena
Fiji Hindi	hifwiki	asia
Hindi	hiwiki	asia
Hiri Motu	howiki	asia
Croatian	hrwiki	cee
Upper Sorbian	hsbwiki	cee
Haitian	htwiki	other
Hungarian	huwiki	cee
Armenian	hywiki	mena
Herero	hzwiki	ssa
Interlingua	iawiki	other
Indonesian	idwiki	asia
Interlingue	iewiki	other
Igbo	igwiki	ssa
Sichuan Yi	iiwiki	asia
Inupiak	ikwiki	other
Ilokano	ilowiki	asia
Ido	iowiki	other
Icelandic	iswiki	weur
Italian	itwiki	itwiki
Inuktitut	iuwiki	other
Jamaican	jamwiki	other
Japanese	jawiki	jawiki
Lojban	jbowiki	other
Javanese	jvwiki	asia
Karakalpak	kaawiki	asia
Kabyle	kabwiki	mena
Georgian	kawiki	mena
Kabardian Circassian	kbdwiki	cee
Kongo	kgwiki	ssa
Kikuyu	kiwiki	ssa
Kuanyama	kjwiki	ssa
Kazakh	kkwiki	asia
Greenlandic	klwiki	other
Khmer	kmwiki	asia
Kannada	knwiki	asia
Komi-Permyak	koiwiki	cee
Korean	kowiki	asia
Karachay-Balkar	krcwiki	cee
Kanuri	krwiki	ssa
Ripuarian	kshwiki	weur
Kashmiri	kswiki	asia
Kurdish	kuwiki	mena
Komi	kvwiki	cee
Cornish	kwwiki	weur
Kirghiz	kywiki	asia
Ladino	ladwiki	weur
Latin	lawiki	weur
Lak	lbewiki	cee
Luxembourgish	lbwiki	weur
Lezgian	lezwiki	cee
Luganda	lgwiki	ssa
Ligurian	lijwiki	weur
Limburgish	liwiki	weur
Lombard	lmowiki	weur
Lingala	lnwiki	ssa
Lao	lowiki	asia
Northern Luri	lrcwiki	mena
Latgalian	ltgwiki	cee
Lithuanian	ltwiki	cee
Latvian	lvwiki	cee
Maithili	maiwiki	asia
Banyumasan	map-bmswiki	asia
Moksha	mdfwiki	cee
Malagasy	mgwiki	ssa
Meadow Mari	mhrwiki	cee
Marshallese	mhwiki	asia
Minangkabau	minwiki	asia
Maori	miwiki	asia
Macedonian	mkwiki	cee
Malayalam	mlwiki	asia
Mongolian	mnwiki	asia
Moldovan	mowiki	cee
Hill Mari	mrjwiki	cee
Marathi	mrwiki	asia
Malay	mswiki	asia
Maltese	mtwiki	weur
Muscogee	muswiki	other
Mirandese	mwlwiki	weur
Erzya	myvwiki	cee
Burmese	mywiki	asia
Mazandarani	mznwiki	mena
Nahuatl	nahwiki	other
Neapolitan	napwiki	weur
Nauruan	nawiki	asia
Dutch Low Saxon	nds-nlwiki	weur
Low Saxon	ndswiki	weur
Nepali	newiki	asia
Newar / Nepal Bhasa	newwiki	asia
Ndonga	ngwiki	ssa
Dutch	nlwiki	nlwiki
Norwegian (Nynorsk)	nnwiki	weur
Novial	novwiki	other
Norwegian (Bokmål)	nowiki	weur
Norman	nrmwiki	weur
Northern Sotho	nsowiki	ssa
Navajo	nvwiki	other
Chichewa	nywiki	ssa
Occitan	ocwiki	weur
Livvi-Karelian	olowiki	cee
Oromo	omwiki	ssa
Oriya	orwiki	asia
Ossetian	oswiki	cee
Pangasinan	pagwiki	asia
Kapampangan	pamwiki	asia
Papiamentu	papwiki	other
Punjabi	pawiki	asia
Picard	pcdwiki	weur
Pennsylvania German	pdcwiki	weur
Palatinate German	pflwiki	weur
Norfolk	pihwiki	weur
Pali	piwiki	asia
Polish	plwiki	cee
Piedmontese	pmswiki	weur
Western Panjabi	pnbwiki	asia
Pontic	pntwiki	cee
Pashto	pswiki	asia
Portuguese	ptwiki	ptwiki
Quechua	quwiki	other
Romansh	rmwiki	weur
Romani	rmywiki	cee
Kirundi	rnwiki	ssa
Aromanian	roa-rupwiki	cee
Tarantino	roa-tarawiki	weur
Romanian	rowiki	cee
Rusyn	ruewiki	cee
Russian	ruwiki	ruwiki
Kinyarwanda	rwwiki	ssa
Sakha	sahwiki	asia
Sanskrit	sawiki	asia
Sicilian	scnwiki	weur
Scots	scowiki	weur
Sardinian	scwiki	weur
Sindhi	sdwiki	asia
Northern Sami	sewiki	weur
Sango	sgwiki	ssa
Serbo-Croatian	shwiki	cee
Simple English	simplewiki	weur
Sinhalese	siwiki	asia
Slovak	skwiki	cee
Slovenian	slwiki	cee
Samoan	smwiki	asia
Shona	snwiki	ssa
Somali	sowiki	ssa
Albanian	sqwiki	cee
Sranan	srnwiki	other
Serbian	srwiki	cee
Swati	sswiki	ssa
Saterland Frisian	stqwiki	weur
Sesotho	stwiki	ssa
Sundanese	suwiki	asia
Swedish	svwiki	weur
Swahili	swwiki	ssa
Silesian	szlwiki	cee
Tamil	tawiki	asia
Tulu	tcywiki	asia
Tetum	tetwiki	asia
Telugu	tewiki	asia
Tajik	tgwiki	asia
Thai	thwiki	asia
Tigrinya	tiwiki	ssa
Turkmen	tkwiki	asia
Tagalog	tlwiki	asia
Tswana	tnwiki	ssa
Tongan	towiki	asia
Tok Pisin	tpiwiki	asia
Turkish	trwiki	mena
Tsonga	tswiki	ssa
Tatar	ttwiki	cee
Tumbuka	tumwiki	ssa
Twi	twwiki	ssa
Tuvan	tyvwiki	asia
Tahitian	tywiki	asia
Udmurt	udmwiki	cee
Uyghur	ugwiki	asia
Ukrainian	ukwiki	cee
Urdu	urwiki	asia
Uzbek	uzwiki	asia
Venetian	vecwiki	weur
Vepsian	vepwiki	cee
Venda	vewiki	ssa
Vietnamese	viwiki	asia
West Flemish	vlswiki	weur
Volapük	vowiki	other
Waray-Waray	warwiki	asia
Walloon	wawiki	weur
Wolof	wowiki	ssa
Wu	wuuwiki	asia
Kalmyk	xalwiki	cee
Xhosa	xhwiki	ssa
Mingrelian	xmfwiki	mena
Yiddish	yiwiki	weur
Yoruba	yowiki	ssa
Zhuang	zawiki	asia
Zeelandic	zeawiki	weur
Classical Chinese	zh-classicalwiki	asia
Min Nan	zh-min-nanwiki	asia
Cantonese	zh-yuewiki	asia
Chinese	zhwiki	zhwiki
Zulu	zuwiki	ssa
