proj_name	proj_key	proj_group
Czech Wikipedia	cswiki	cee_wps
Old Church Slavonic Wikipedia	cuwiki	cee_wps
Chuvash Wikipedia	cvwiki	cee_wps
Welsh Wikipedia	cywiki	weur_wps
Danish Wikipedia	dawiki	weur_wps
German Wikipedia	dewiki	dewiki
Dinka Wikipedia	dinwiki	meaf_wps
Zazaki Wikipedia	diqwiki	meaf_wps
Lower Sorbian Wikipedia	dsbwiki	cee_wps
Doteli Wikipedia	dtywiki	asia_wps
Divehi Wikipedia	dvwiki	asia_wps
Dzongkha Wikipedia	dzwiki	asia_wps
Ewe Wikipedia	eewiki	meaf_wps
Greek Wikipedia	elwiki	cee_wps
Emilian-Romagnol Wikipedia	emlwiki	weur_wps
English Wikipedia	enwiki	enwiki
Esperanto Wikipedia	eowiki	weur_wps
Spanish Wikipedia	eswiki	eswiki
Estonian Wikipedia	etwiki	cee_wps
Basque Wikipedia	euwiki	weur_wps
Extremaduran Wikipedia	extwiki	weur_wps
Persian Wikipedia	fawiki	meaf_wps
Fula Wikipedia	ffwiki	meaf_wps
Võro Wikipedia	fiu_vrowiki	meaf_wps
Finnish Wikipedia	fiwiki	weur_wps
Fijian Wikipedia	fjwiki	asia_wps
Faroese Wikipedia	fowiki	weur_wps
Franco-Provençal/Arpitan Wikipedia	frpwiki	weur_wps
North Frisian Wikipedia	frrwiki	weur_wps
French Wikipedia	frwiki	frwiki
Friulian Wikipedia	furwiki	weur_wps
West Frisian Wikipedia	fywiki	weur_wps
Gagauz Wikipedia	gagwiki	cee_wps
Gan Wikipedia	ganwiki	asia_wps
Irish Wikipedia	gawiki	weur_wps
Scottish Gaelic Wikipedia	gdwiki	weur_wps
Gilaki Wikipedia	glkwiki	meaf_wps
Galician Wikipedia	glwiki	weur_wps
Guarani Wikipedia	gnwiki	other
Gova Konknni Wikipedia	gomwiki	asia_wps
Gothic Wikipedia	gotwiki	weur_wps
Gujarati Wikipedia	guwiki	asia_wps
Manx Wikipedia	gvwiki	weur_wps
Hakka Wikipedia	hakwiki	asia_wps
Hausa Wikipedia	hawiki	meaf_wps
Hawaiian Wikipedia	hawwiki	asia_wps
Hebrew Wikipedia	hewiki	meaf_wps
Fiji Hindi Wikipedia	hifwiki	asia_wps
Hindi Wikipedia	hiwiki	asia_wps
Hiri Motu Wikipedia	howiki	asia_wps
Croatian Wikipedia	hrwiki	cee_wps
Upper Sorbian Wikipedia	hsbwiki	cee_wps
Haitian Wikipedia	htwiki	other
Hungarian Wikipedia	huwiki	cee_wps
Armenian Wikipedia	hywiki	meaf_wps
Herero Wikipedia	hzwiki	meaf_wps
Interlingua Wikipedia	iawiki	other
Indonesian Wikipedia	idwiki	asia_wps
Interlingue Wikipedia	iewiki	other
Igbo Wikipedia	igwiki	meaf_wps
Sichuan Yi Wikipedia	iiwiki	asia_wps
Inupiak Wikipedia	ikwiki	other
Ilokano Wikipedia	ilowiki	asia_wps
Ido Wikipedia	iowiki	other
Icelandic Wikipedia	iswiki	weur_wps
Italian Wikipedia	itwiki	itwiki
Inuktitut Wikipedia	iuwiki	other
Jamaican Wikipedia	jamwiki	other
Japanese Wikipedia	jawiki	jawiki
Lojban Wikipedia	jbowiki	other
Javanese Wikipedia	jvwiki	asia_wps
Karakalpak Wikipedia	kaawiki	asia_wps
Kabyle Wikipedia	kabwiki	meaf_wps
Georgian Wikipedia	kawiki	meaf_wps
Kabardian Circassian Wikipedia	kbdwiki	cee_wps
Kabiye Wikipedia	kbpwiki	meaf_wps
Kongo Wikipedia	kgwiki	meaf_wps
Kikuyu Wikipedia	kiwiki	meaf_wps
Kuanyama Wikipedia	kjwiki	meaf_wps
Kazakh Wikipedia	kkwiki	asia_wps
Greenlandic Wikipedia	klwiki	other
Khmer Wikipedia	kmwiki	asia_wps
Kannada Wikipedia	knwiki	asia_wps
Komi-Permyak Wikipedia	koiwiki	cee_wps
Korean Wikipedia	kowiki	asia_wps
Karachay-Balkar Wikipedia	krcwiki	cee_wps
Kanuri Wikipedia	krwiki	meaf_wps
Ripuarian Wikipedia	kshwiki	weur_wps
Kashmiri Wikipedia	kswiki	asia_wps
Kurdish Wikipedia	kuwiki	meaf_wps
Komi Wikipedia	kvwiki	cee_wps
Cornish Wikipedia	kwwiki	weur_wps
Kirghiz Wikipedia	kywiki	asia_wps
Ladino Wikipedia	ladwiki	weur_wps
Latin Wikipedia	lawiki	weur_wps
Lak Wikipedia	lbewiki	cee_wps
Luxembourgish Wikipedia	lbwiki	weur_wps
Lezgian Wikipedia	lezwiki	cee_wps
Luganda Wikipedia	lgwiki	meaf_wps
Ligurian Wikipedia	lijwiki	weur_wps
Limburgish Wikipedia	liwiki	weur_wps
Lombard Wikipedia	lmowiki	weur_wps
Lingala Wikipedia	lnwiki	meaf_wps
Lao Wikipedia	lowiki	asia_wps
Northern Luri Wikipedia	lrcwiki	meaf_wps
Latgalian Wikipedia	ltgwiki	cee_wps
Lithuanian Wikipedia	ltwiki	cee_wps
Latvian Wikipedia	lvwiki	cee_wps
Maithili Wikipedia	maiwiki	asia_wps
Banyumasan Wikipedia	map_bmswiki	asia_wps
Moksha Wikipedia	mdfwiki	cee_wps
Malagasy Wikipedia	mgwiki	meaf_wps
Meadow Mari Wikipedia	mhrwiki	cee_wps
Marshallese Wikipedia	mhwiki	asia_wps
Minangkabau Wikipedia	minwiki	asia_wps
Maori Wikipedia	miwiki	asia_wps
Macedonian Wikipedia	mkwiki	cee_wps
Malayalam Wikipedia	mlwiki	asia_wps
Mongolian Wikipedia	mnwiki	asia_wps
Moldovan Wikipedia	mowiki	cee_wps
Hill Mari Wikipedia	mrjwiki	cee_wps
Marathi Wikipedia	mrwiki	asia_wps
Malay Wikipedia	mswiki	asia_wps
Maltese Wikipedia	mtwiki	weur_wps
Muscogee Wikipedia	muswiki	other
Mirandese Wikipedia	mwlwiki	weur_wps
Erzya Wikipedia	myvwiki	cee_wps
Burmese Wikipedia	mywiki	asia_wps
Mazandarani Wikipedia	mznwiki	meaf_wps
Nahuatl Wikipedia	nahwiki	other
Neapolitan Wikipedia	napwiki	weur_wps
Nauruan Wikipedia	nawiki	asia_wps
Dutch Low Saxon Wikipedia	nds_nlwiki	weur_wps
Low Saxon Wikipedia	ndswiki	weur_wps
Nepali Wikipedia	newiki	asia_wps
Newar / Nepal Bhasa Wikipedia	newwiki	asia_wps
Ndonga Wikipedia	ngwiki	meaf_wps
Dutch Wikipedia	nlwiki	nlwiki
Norwegian (Nynorsk) Wikipedia	nnwiki	weur_wps
Novial Wikipedia	novwiki	other
Norwegian (Bokmål) Wikipedia	nowiki	weur_wps
Norman Wikipedia	nrmwiki	weur_wps
Northern Sotho Wikipedia	nsowiki	meaf_wps
Navajo Wikipedia	nvwiki	other
Chichewa Wikipedia	nywiki	meaf_wps
Occitan Wikipedia	ocwiki	weur_wps
Livvi-Karelian Wikipedia	olowiki	cee_wps
Oromo Wikipedia	omwiki	meaf_wps
Oriya Wikipedia	orwiki	asia_wps
Ossetian Wikipedia	oswiki	cee_wps
Pangasinan Wikipedia	pagwiki	asia_wps
Kapampangan Wikipedia	pamwiki	asia_wps
Papiamentu Wikipedia	papwiki	other
Punjabi Wikipedia	pawiki	asia_wps
Picard Wikipedia	pcdwiki	weur_wps
Pennsylvania German Wikipedia	pdcwiki	weur_wps
Palatinate German Wikipedia	pflwiki	weur_wps
Norfolk Wikipedia	pihwiki	weur_wps
Pali Wikipedia	piwiki	asia_wps
Polish Wikipedia	plwiki	cee_wps
Piedmontese Wikipedia	pmswiki	weur_wps
Western Panjabi Wikipedia	pnbwiki	asia_wps
Pontic Wikipedia	pntwiki	cee_wps
Pashto Wikipedia	pswiki	asia_wps
Portuguese Wikipedia	ptwiki	ptwiki
Quechua Wikipedia	quwiki	other
Romansh Wikipedia	rmwiki	weur_wps
Romani Wikipedia	rmywiki	cee_wps
Kirundi Wikipedia	rnwiki	meaf_wps
Aromanian Wikipedia	roa_rupwiki	cee_wps
Tarantino Wikipedia	roa_tarawiki	weur_wps
Romanian Wikipedia	rowiki	cee_wps
Rusyn Wikipedia	ruewiki	cee_wps
Russian Wikipedia	ruwiki	ruwiki
Kinyarwanda Wikipedia	rwwiki	meaf_wps
Sakha Wikipedia	sahwiki	asia_wps
Sanskrit Wikipedia	sawiki	asia_wps
Sicilian Wikipedia	scnwiki	weur_wps
Scots Wikipedia	scowiki	weur_wps
Sardinian Wikipedia	scwiki	weur_wps
Sindhi Wikipedia	sdwiki	asia_wps
Northern Sami Wikipedia	sewiki	weur_wps
Sango Wikipedia	sgwiki	meaf_wps
Serbo-Croatian Wikipedia	shwiki	cee_wps
Simple English Wikipedia	simplewiki	weur_wps
Sinhalese Wikipedia	siwiki	asia_wps
Slovak Wikipedia	skwiki	cee_wps
Slovenian Wikipedia	slwiki	cee_wps
Samoan Wikipedia	smwiki	asia_wps
Shona Wikipedia	snwiki	meaf_wps
Somali Wikipedia	sowiki	meaf_wps
Albanian Wikipedia	sqwiki	cee_wps
Sranan Wikipedia	srnwiki	other
Serbian Wikipedia	srwiki	cee_wps
Swati Wikipedia	sswiki	meaf_wps
Saterland Frisian Wikipedia	stqwiki	weur_wps
Sesotho Wikipedia	stwiki	meaf_wps
Sundanese Wikipedia	suwiki	asia_wps
Swedish Wikipedia	svwiki	weur_wps
Swahili Wikipedia	swwiki	meaf_wps
Silesian Wikipedia	szlwiki	cee_wps
Tamil Wikipedia	tawiki	asia_wps
Tulu Wikipedia	tcywiki	asia_wps
Tetum Wikipedia	tetwiki	asia_wps
Telugu Wikipedia	tewiki	asia_wps
Tajik Wikipedia	tgwiki	asia_wps
Thai Wikipedia	thwiki	asia_wps
Tigrinya Wikipedia	tiwiki	meaf_wps
Turkmen Wikipedia	tkwiki	asia_wps
Tagalog Wikipedia	tlwiki	asia_wps
Tswana Wikipedia	tnwiki	meaf_wps
Tongan Wikipedia	towiki	asia_wps
Tok Pisin Wikipedia	tpiwiki	asia_wps
Turkish Wikipedia	trwiki	meaf_wps
Tsonga Wikipedia	tswiki	meaf_wps
Tatar Wikipedia	ttwiki	cee_wps
Tumbuka Wikipedia	tumwiki	meaf_wps
Twi Wikipedia	twwiki	meaf_wps
Tuvan Wikipedia	tyvwiki	asia_wps
Tahitian Wikipedia	tywiki	asia_wps
Udmurt Wikipedia	udmwiki	cee_wps
Uyghur Wikipedia	ugwiki	asia_wps
Ukrainian Wikipedia	ukwiki	cee_wps
Urdu Wikipedia	urwiki	asia_wps
Uzbek Wikipedia	uzwiki	asia_wps
Venetian Wikipedia	vecwiki	weur_wps
Vepsian Wikipedia	vepwiki	cee_wps
Venda Wikipedia	vewiki	meaf_wps
Vietnamese Wikipedia	viwiki	asia_wps
West Flemish Wikipedia	vlswiki	weur_wps
Volapük Wikipedia	vowiki	other
Waray-Waray Wikipedia	warwiki	asia_wps
Walloon Wikipedia	wawiki	weur_wps
Wikidata	wikidatawiki	wikidata
Wolof Wikipedia	wowiki	meaf_wps
Wu Wikipedia	wuuwiki	asia_wps
Kalmyk Wikipedia	xalwiki	cee_wps
Xhosa Wikipedia	xhwiki	meaf_wps
Mingrelian Wikipedia	xmfwiki	meaf_wps
Yiddish Wikipedia	yiwiki	weur_wps
Yoruba Wikipedia	yowiki	meaf_wps
Zhuang Wikipedia	zawiki	asia_wps
Zeelandic Wikipedia	zeawiki	weur_wps
Classical Chinese Wikipedia	zh_classicalwiki	asia_wps
Min Nan Wikipedia	zh_min_nanwiki	asia_wps
Cantonese Wikipedia	zh_yuewiki	asia_wps
Chinese Wikipedia	zhwiki	zhwiki
Zulu Wikipedia	zuwiki	meaf_wps
